REF_DATE,GEO,DGUID,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2017/2018,Canada,2016A000011124,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v115117759,1.1.1.3.4,69.4
2019/2020,Canada,2016A000011124,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v115117759,1.1.1.3.4,66
2021/2022,Canada,2016A000011124,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v115117759,1.1.1.3.4,56.9
2015/2016,Canada,2016A000011124,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v115117760,1.1.1.3.5,71.1
2017/2018,Canada,2016A000011124,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v115117760,1.1.1.3.5,68.9
2019/2020,Canada,2016A000011124,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v115117760,1.1.1.3.5,65.5
2021/2022,Canada,2016A000011124,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v115117760,1.1.1.3.5,56.4
2015/2016,Canada,2016A000011124,"Perceived mental health, very good or excellent","High 95% confidence interval, percent",Percent,239,units,0,v115117761,1.1.1.3.6,72.1
2017/2018,Canada,2016A000011124,"Perceived mental health, very good or excellent","High 95% confidence interval, percent",Percent,239,units,0,v115117761,1.1.1.3.6,69.9
2019/2020,Canada,2016A000011124,"Perceived mental health, very good or excellent","High 95% confidence interval, percent",Percent,239,units,0,v115117761,1.1.1.3.6,66.6
2021/2022,Canada,2016A000011124,"Perceived mental health, very good or excellent","High 95% confidence interval, percent",Percent,239,units,0,v115117761,1.1.1.3.6,57.5
2017/2018,Canada,2016A000011124,"Perceived mental health, very good or excellent",Statistically different from previous reference period,Number,223,units,0,v1078766599,1.1.1.3.9,-1
2019/2020,Canada,2016A000011124,"Perceived mental health, very good or excellent",Statistically different from previous reference period,Number,223,units,0,v1078766599,1.1.1.3.9,-1
2021/2022,Canada,2016A000011124,"Perceived mental health, very good or excellent",Statistically different from previous reference period,Number,223,units,0,v1078766599,1.1.1.3.9,-1
2015/2016,Canada,2016A000011124,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v115117763,1.1.1.4.1,1900200
2017/2018,Canada,2016A000011124,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v115117763,1.1.1.4.1,2235700
2019/2020,Canada,2016A000011124,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v115117763,1.1.1.4.1,2758000
2021/2022,Canada,2016A000011124,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v115117763,1.1.1.4.1,4219600
2015/2016,Canada,2016A000011124,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,223,units,0,v115117764,1.1.1.4.2,1839800
2017/2018,Canada,2016A000011124,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,223,units,0,v115117764,1.1.1.4.2,2161600
2019/2020,Canada,2016A000011124,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,223,units,0,v115117764,1.1.1.4.2,2675300
2021/2022,Canada,2016A000011124,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,223,units,0,v115117764,1.1.1.4.2,4118300
2015/2016,Canada,2016A000011124,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,223,units,0,v115117765,1.1.1.4.3,1987700
2017/2018,Canada,2016A000011124,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,223,units,0,v115117765,1.1.1.4.3,2321800
2019/2020,Canada,2016A000011124,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,223,units,0,v115117765,1.1.1.4.3,2886100
2021/2022,Canada,2016A000011124,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,223,units,0,v115117765,1.1.1.4.3,4355000
2015/2016,Canada,2016A000011124,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v115117766,1.1.1.4.4,6.4
2017/2018,Canada,2016A000011124,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v115117766,1.1.1.4.4,7.4
2019/2020,Canada,2016A000011124,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v115117766,1.1.1.4.4,8.9
2021/2022,Canada,2016A000011124,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v115117766,1.1.1.4.4,13.1
2015/2016,Canada,2016A000011124,"Perceived mental health, fair or poor","Low 95% confidence interval, percent",Percent,239,units,0,v115117767,1.1.1.4.5,6.2
2017/2018,Canada,2016A000011124,"Perceived mental health, fair or poor","Low 95% confidence interval, percent",Percent,239,units,0,v115117767,1.1.1.4.5,7.1
2019/2020,Canada,2016A000011124,"Perceived mental health, fair or poor","Low 95% confidence interval, percent",Percent,239,units,0,v115117767,1.1.1.4.5,8.5
2021/2022,Canada,2016A000011124,"Perceived mental health, fair or poor","Low 95% confidence interval, percent",Percent,239,units,0,v115117767,1.1.1.4.5,12.7
2015/2016,Canada,2016A000011124,"Perceived mental health, fair or poor","High 95% confidence interval, percent",Percent,239,units,0,v115117768,1.1.1.4.6,6.7
2017/2018,Canada,2016A000011124,"Perceived mental health, fair or poor","High 95% confidence interval, percent",Percent,239,units,0,v115117768,1.1.1.4.6,7.7
2019/2020,Canada,2016A000011124,"Perceived mental health, fair or poor","High 95% confidence interval, percent",Percent,239,units,0,v115117768,1.1.1.4.6,9.2
2021/2022,Canada,2016A000011124,"Perceived mental health, fair or poor","High 95% confidence interval, percent",Percent,239,units,0,v115117768,1.1.1.4.6,13.5
2017/2018,Canada,2016A000011124,"Perceived mental health, fair or poor",Statistically different from previous reference period,Number,223,units,0,v1078766600,1.1.1.4.9,1
2019/2020,Canada,2016A000011124,"Perceived mental health, fair or poor",Statistically different from previous reference period,Number,223,units,0,v1078766600,1.1.1.4.9,1
2021/2022,Canada,2016A000011124,"Perceived mental health, fair or poor",Statistically different from previous reference period,Number,223,units,0,v1078766600,1.1.1.4.9,1
2015/2016,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v115117770,1.1.1.5.1,6536900
2017/2018,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v115117770,1.1.1.5.1,6653000
2019/2020,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v115117770,1.1.1.5.1,6655400
2021/2022,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,Number,223,units,0,v115117770,1.1.1.5.1,6910700
2015/2016,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, number of persons",Number,223,units,0,v115117771,1.1.1.5.2,6415000
2017/2018,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, number of persons",Number,223,units,0,v115117771,1.1.1.5.2,6515400
2019/2020,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, number of persons",Number,223,units,0,v115117771,1.1.1.5.2,6514800
2021/2022,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, number of persons",Number,223,units,0,v115117771,1.1.1.5.2,6800400
2015/2016,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, number of persons",Number,223,units,0,v115117772,1.1.1.5.3,6667300
2017/2018,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, number of persons",Number,223,units,0,v115117772,1.1.1.5.3,6767500
2019/2020,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, number of persons",Number,223,units,0,v115117772,1.1.1.5.3,6801000
2021/2022,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, number of persons",Number,223,units,0,v115117772,1.1.1.5.3,7064000
2015/2016,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v115117773,1.1.1.5.4,21.5
2017/2018,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v115117773,1.1.1.5.4,21.4
2019/2020,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v115117773,1.1.1.5.4,20.8
2021/2022,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v115117773,1.1.1.5.4,21.1
2015/2016,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, percent",Percent,239,units,0,v115117774,1.1.1.5.5,21.1
2017/2018,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, percent",Percent,239,units,0,v115117774,1.1.1.5.5,21
2019/2020,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, percent",Percent,239,units,0,v115117774,1.1.1.5.5,20.3
2021/2022,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, percent",Percent,239,units,0,v115117774,1.1.1.5.5,20.7
2015/2016,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, percent",Percent,239,units,0,v115117775,1.1.1.5.6,21.9
2017/2018,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, percent",Percent,239,units,0,v115117775,1.1.1.5.6,21.8
2019/2020,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, percent",Percent,239,units,0,v115117775,1.1.1.5.6,21.3
2021/2022,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, percent",Percent,239,units,0,v115117775,1.1.1.5.6,21.5
2017/2018,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful",Statistically different from previous reference period,Number,223,units,0,v1078766601,1.1.1.5.9,0
2019/2020,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful",Statistically different from previous reference period,Number,223,units,0,v1078766601,1.1.1.5.9,0
2021/2022,Canada,2016A000011124,"Perceived life stress, most days quite a bit or extremely stressful",Statistically different from previous reference period,Number,223,units,0,v1078766601,1.1.1.5.9,0
2015/2016,Canada,2016A000011124,Mood disorder,Number of persons,Number,223,units,0,v115117833,1.1.1.14.1,2489900
2017/2018,Canada,2016A000011124,Mood disorder,Number of persons,Number,223,units,0,v115117833,1.1.1.14.1,2732000
2019/2020,Canada,2016A000011124,Mood disorder,Number of persons,Number,223,units,0,v115117833,1.1.1.14.1,2896900
2021/2022,Canada,2016A000011124,Mood disorder,Number of persons,Number,223,units,0,v115117833,1.1.1.14.1,3455500
2015/2016,Canada,2016A000011124,Mood disorder,"Low 95% confidence interval, number of persons",Number,223,units,0,v115117834,1.1.1.14.2,2424600
2017/2018,Canada,2016A000011124,Mood disorder,"Low 95% confidence interval, number of persons",Number,223,units,0,v115117834,1.1.1.14.2,2663500
2019/2020,Canada,2016A000011124,Mood disorder,"Low 95% confidence interval, number of persons",Number,223,units,0,v115117834,1.1.1.14.2,2820400
2021/2022,Canada,2016A000011124,Mood disorder,"Low 95% confidence interval, number of persons",Number,223,units,0,v115117834,1.1.1.14.2,3361700
2015/2016,Canada,2016A000011124,Mood disorder,"High 95% confidence interval, number of persons",Number,223,units,0,v115117835,1.1.1.14.3,2573800
2017/2018,Canada,2016A000011124,Mood disorder,"High 95% confidence interval, number of persons",Number,223,units,0,v115117835,1.1.1.14.3,2831300
2019/2020,Canada,2016A000011124,Mood disorder,"High 95% confidence interval, number of persons",Number,223,units,0,v115117835,1.1.1.14.3,3018300
2021/2022,Canada,2016A000011124,Mood disorder,"High 95% confidence interval, number of persons",Number,223,units,0,v115117835,1.1.1.14.3,3573400
2015/2016,Canada,2016A000011124,Mood disorder,Percent,Percent,239,units,0,v115117836,1.1.1.14.4,8.2
2017/2018,Canada,2016A000011124,Mood disorder,Percent,Percent,239,units,0,v115117836,1.1.1.14.4,8.8
2019/2020,Canada,2016A000011124,Mood disorder,Percent,Percent,239,units,0,v115117836,1.1.1.14.4,9
2021/2022,Canada,2016A000011124,Mood disorder,Percent,Percent,239,units,0,v115117836,1.1.1.14.4,10.5
2015/2016,Canada,2016A000011124,Mood disorder,"Low 95% confidence interval, percent",Percent,239,units,0,v115117837,1.1.1.14.5,7.9
2017/2018,Canada,2016A000011124,Mood disorder,"Low 95% confidence interval, percent",Percent,239,units,0,v115117837,1.1.1.14.5,8.5
2019/2020,Canada,2016A000011124,Mood disorder,"Low 95% confidence interval, percent",Percent,239,units,0,v115117837,1.1.1.14.5,8.7
2021/2022,Canada,2016A000011124,Mood disorder,"Low 95% confidence interval, percent",Percent,239,units,0,v115117837,1.1.1.14.5,10.2
2015/2016,Canada,2016A000011124,Mood disorder,"High 95% confidence interval, percent",Percent,239,units,0,v115117838,1.1.1.14.6,8.4
2017/2018,Canada,2016A000011124,Mood disorder,"High 95% confidence interval, percent",Percent,239,units,0,v115117838,1.1.1.14.6,9
2019/2020,Canada,2016A000011124,Mood disorder,"High 95% confidence interval, percent",Percent,239,units,0,v115117838,1.1.1.14.6,9.4
2021/2022,Canada,2016A000011124,Mood disorder,"High 95% confidence interval, percent",Percent,239,units,0,v115117838,1.1.1.14.6,10.9
2017/2018,Canada,2016A000011124,Mood disorder,Statistically different from previous reference period,Number,223,units,0,v1078766610,1.1.1.14.9,1
2019/2020,Canada,2016A000011124,Mood disorder,Statistically different from previous reference period,Number,223,units,0,v1078766610,1.1.1.14.9,0
2021/2022,Canada,2016A000011124,Mood disorder,Statistically different from previous reference period,Number,223,units,0,v1078766610,1.1.1.14.9,1
2021/2022,Canada,2016A000011124,Anxiety disorder,Number of persons,Number,223,units,0,v1707301652,1.1.1.28.1,4150000
2021/2022,Canada,2016A000011124,Anxiety disorder,"Low 95% confidence interval, number of persons",Number,223,units,0,v1707301653,1.1.1.28.2,4056000
2021/2022,Canada,2016A000011124,Anxiety disorder,"High 95% confidence interval, number of persons",Number,223,units,0,v1707301654,1.1.1.28.3,4274700
2021/2022,Canada,2016A000011124,Anxiety disorder,Percent,Percent,239,units,0,v1707301655,1.1.1.28.4,12.7
2021/2022,Canada,2016A000011124,Anxiety disorder,"Low 95% confidence interval, percent",Percent,239,units,0,v1707301656,1.1.1.28.5,12.3
2021/2022,Canada,2016A000011124,Anxiety disorder,"High 95% confidence interval, percent",Percent,239,units,0,v1707301657,1.1.1.28.6,13
2021/2022,Canada,2016A000011124,Anxiety disorder,Statistically different from previous reference period,Number,223,units,0,v1707301660,1.1.1.28.9,
2015/2016,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v115117896,1.1.1.23.1,20035800
2017/2018,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v115117896,1.1.1.23.1,20599600
2019/2020,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v115117896,1.1.1.23.1,21546900
2021/2022,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v115117896,1.1.1.23.1,21435400
2015/2016,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, number of persons",Number,223,units,0,v115117897,1.1.1.23.2,19907300
2017/2018,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, number of persons",Number,223,units,0,v115117897,1.1.1.23.2,20448600
2019/2020,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, number of persons",Number,223,units,0,v115117897,1.1.1.23.2,21366300
2021/2022,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, number of persons",Number,223,units,0,v115117897,1.1.1.23.2,21249300
2015/2016,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, number of persons",Number,223,units,0,v115117898,1.1.1.23.3,20197200
2017/2018,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, number of persons",Number,223,units,0,v115117898,1.1.1.23.3,20733000
2019/2020,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, number of persons",Number,223,units,0,v115117898,1.1.1.23.3,21718900
2021/2022,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, number of persons",Number,223,units,0,v115117898,1.1.1.23.3,21557400
2015/2016,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v115117899,1.1.1.23.4,68.4
2017/2018,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v115117899,1.1.1.23.4,68.9
2019/2020,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v115117899,1.1.1.23.4,70
2021/2022,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v115117899,1.1.1.23.4,67
2015/2016,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, percent",Percent,239,units,0,v115117900,1.1.1.23.5,67.9
2017/2018,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, percent",Percent,239,units,0,v115117900,1.1.1.23.5,68.4
2019/2020,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, percent",Percent,239,units,0,v115117900,1.1.1.23.5,69.4
2021/2022,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, percent",Percent,239,units,0,v115117900,1.1.1.23.5,66.5
2015/2016,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, percent",Percent,239,units,0,v115117901,1.1.1.23.6,68.9
2017/2018,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, percent",Percent,239,units,0,v115117901,1.1.1.23.6,69.4
2019/2020,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, percent",Percent,239,units,0,v115117901,1.1.1.23.6,70.5
2021/2022,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, percent",Percent,239,units,0,v115117901,1.1.1.23.6,67.5
2017/2018,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong",Statistically different from previous reference period,Number,223,units,0,v1078766619,1.1.1.23.9,0
2019/2020,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong",Statistically different from previous reference period,Number,223,units,0,v1078766619,1.1.1.23.9,1
2021/2022,Canada,2016A000011124,"Sense of belonging to local community, somewhat strong or very strong",Statistically different from previous reference period,Number,223,units,0,v1078766619,1.1.1.23.9,-1
2015/2016,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v115117903,1.1.1.24.1,27398200
2017/2018,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v115117903,1.1.1.24.1,28074500
2019/2020,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v115117903,1.1.1.24.1,28889300
2021/2022,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v115117903,1.1.1.24.1,28806500
2015/2016,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons",Number,223,units,0,v115117904,1.1.1.24.2,27313300
2017/2018,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons",Number,223,units,0,v115117904,1.1.1.24.2,27977500
2019/2020,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons",Number,223,units,0,v115117904,1.1.1.24.2,28786500
2021/2022,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons",Number,223,units,0,v115117904,1.1.1.24.2,28691100
2015/2016,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons",Number,223,units,0,v115117905,1.1.1.24.3,27490300
2017/2018,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons",Number,223,units,0,v115117905,1.1.1.24.3,28153900
2019/2020,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons",Number,223,units,0,v115117905,1.1.1.24.3,28998000
2021/2022,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons",Number,223,units,0,v115117905,1.1.1.24.3,28893200
2015/2016,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied",Percent,Percent,239,units,0,v115117906,1.1.1.24.4,92.9
2017/2018,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied",Percent,Percent,239,units,0,v115117906,1.1.1.24.4,93.1
2019/2020,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied",Percent,Percent,239,units,0,v115117906,1.1.1.24.4,93.3
2021/2022,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied",Percent,Percent,239,units,0,v115117906,1.1.1.24.4,89.7
2015/2016,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, percent",Percent,239,units,0,v115117907,1.1.1.24.5,92.6
2017/2018,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, percent",Percent,239,units,0,v115117907,1.1.1.24.5,92.9
2019/2020,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, percent",Percent,239,units,0,v115117907,1.1.1.24.5,93
2021/2022,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, percent",Percent,239,units,0,v115117907,1.1.1.24.5,89.3
2015/2016,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, percent",Percent,239,units,0,v115117908,1.1.1.24.6,93.1
2017/2018,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, percent",Percent,239,units,0,v115117908,1.1.1.24.6,93.4
2019/2020,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, percent",Percent,239,units,0,v115117908,1.1.1.24.6,93.6
2021/2022,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, percent",Percent,239,units,0,v115117908,1.1.1.24.6,90
2017/2018,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied",Statistically different from previous reference period,Number,223,units,0,v1078766620,1.1.1.24.9,0
2019/2020,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied",Statistically different from previous reference period,Number,223,units,0,v1078766620,1.1.1.24.9,0
2021/2022,Canada,2016A000011124,"Life satisfaction, satisfied or very satisfied",Statistically different from previous reference period,Number,223,units,0,v1078766620,1.1.1.24.9,-1
2015/2016,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v115120647,2.1.1.3.1,313000
2017/2018,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v115120647,2.1.1.3.1,306200
2019/2020,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v115120647,2.1.1.3.1,302000
2021/2022,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v115120647,2.1.1.3.1,261000
2015/2016,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v115120648,2.1.1.3.2,302800
2017/2018,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v115120648,2.1.1.3.2,295400
2019/2020,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v115120648,2.1.1.3.2,289400
2021/2022,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v115120648,2.1.1.3.2,252200
2015/2016,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v115120649,2.1.1.3.3,322700
2017/2018,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v115120649,2.1.1.3.3,315500
2019/2020,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v115120649,2.1.1.3.3,312400
2021/2022,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v115120649,2.1.1.3.3,270200
2015/2016,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v115120650,2.1.1.3.4,70.9
2017/2018,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v115120650,2.1.1.3.4,69.1
2019/2020,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v115120650,2.1.1.3.4,68.9
2021/2022,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v115120650,2.1.1.3.4,58.3
2015/2016,Newfoundland and Labrador,2016A000210,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v115120651,2.1.1.3.5,68.7
