REF_DATE,GEO,DGUID,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2007/2008,Canada,0,"Perceived mental health, very good or excellent",Statistically different from previous reference period,Number,223,units,0,v42924528,1.1.1.2.12,0
2009/2010,Canada,0,"Perceived mental health, very good or excellent",Statistically different from previous reference period,Number,223,units,0,v42924528,1.1.1.2.12,-1
2011/2012,Canada,0,"Perceived mental health, very good or excellent",Statistically different from previous reference period,Number,223,units,0,v42924528,1.1.1.2.12,-1
2013/2014,Canada,0,"Perceived mental health, very good or excellent",Statistically different from previous reference period,Number,223,units,0,v42924528,1.1.1.2.12,-1
2007/2008,Canada,0,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v47663173,1.1.1.37.1,1335292
2009/2010,Canada,0,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v47663173,1.1.1.37.1,1458700
2011/2012,Canada,0,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v47663173,1.1.1.37.1,1633268
2013/2014,Canada,0,"Perceived mental health, fair or poor",Number of persons,Number,223,units,0,v47663173,1.1.1.37.1,1850856
2007/2008,Canada,0,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,223,units,0,v47663177,1.1.1.37.2,1279850
2009/2010,Canada,0,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,223,units,0,v47663177,1.1.1.37.2,1397390
2011/2012,Canada,0,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,223,units,0,v47663177,1.1.1.37.2,1565770
2013/2014,Canada,0,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,223,units,0,v47663177,1.1.1.37.2,1778605
2007/2008,Canada,0,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,223,units,0,v47663178,1.1.1.37.3,1390735
2009/2010,Canada,0,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,223,units,0,v47663178,1.1.1.37.3,1520010
2011/2012,Canada,0,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,223,units,0,v47663178,1.1.1.37.3,1700766
2013/2014,Canada,0,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,223,units,0,v47663178,1.1.1.37.3,1923107
2007/2008,Canada,0,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v47663180,1.1.1.37.5,4.9
2009/2010,Canada,0,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v47663180,1.1.1.37.5,5.2
2011/2012,Canada,0,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v47663180,1.1.1.37.5,5.7
2013/2014,Canada,0,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v47663180,1.1.1.37.5,6.3
2007/2008,Canada,0,"Perceived mental health, fair or poor","Low 95% confidence interval, percent",Percent,239,units,0,v47663181,1.1.1.37.6,4.7
2009/2010,Canada,0,"Perceived mental health, fair or poor","Low 95% confidence interval, percent",Percent,239,units,0,v47663181,1.1.1.37.6,5
2011/2012,Canada,0,"Perceived mental health, fair or poor","Low 95% confidence interval, percent",Percent,239,units,0,v47663181,1.1.1.37.6,5.4
2013/2014,Canada,0,"Perceived mental health, fair or poor","Low 95% confidence interval, percent",Percent,239,units,0,v47663181,1.1.1.37.6,6.1
2007/2008,Canada,0,"Perceived mental health, fair or poor","High 95% confidence interval, percent",Percent,239,units,0,v47663182,1.1.1.37.7,5.1
2009/2010,Canada,0,"Perceived mental health, fair or poor","High 95% confidence interval, percent",Percent,239,units,0,v47663182,1.1.1.37.7,5.4
2011/2012,Canada,0,"Perceived mental health, fair or poor","High 95% confidence interval, percent",Percent,239,units,0,v47663182,1.1.1.37.7,5.9
2013/2014,Canada,0,"Perceived mental health, fair or poor","High 95% confidence interval, percent",Percent,239,units,0,v47663182,1.1.1.37.7,6.5
2007/2008,Canada,0,"Perceived mental health, fair or poor",Statistically different from previous reference period,Number,223,units,0,v47663176,1.1.1.37.12,0
2009/2010,Canada,0,"Perceived mental health, fair or poor",Statistically different from previous reference period,Number,223,units,0,v47663176,1.1.1.37.12,1
2011/2012,Canada,0,"Perceived mental health, fair or poor",Statistically different from previous reference period,Number,223,units,0,v47663176,1.1.1.37.12,1
2013/2014,Canada,0,"Perceived mental health, fair or poor",Statistically different from previous reference period,Number,223,units,0,v47663176,1.1.1.37.12,1
2007/2008,Canada,0,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v48793992,1.1.1.45.1,24968013
2009/2010,Canada,0,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v48793992,1.1.1.45.1,25747082
2011/2012,Canada,0,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v48793992,1.1.1.45.1,26392381
2013/2014,Canada,0,"Life satisfaction, satisfied or very satisfied",Number of persons,Number,223,units,0,v48793992,1.1.1.45.1,26887279
2007/2008,Canada,0,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons",Number,223,units,0,v48793994,1.1.1.45.2,24885821
2009/2010,Canada,0,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons",Number,223,units,0,v48793994,1.1.1.45.2,25662955
2011/2012,Canada,0,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons",Number,223,units,0,v48793994,1.1.1.45.2,26305555
2013/2014,Canada,0,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons",Number,223,units,0,v48793994,1.1.1.45.2,26795783
2007/2008,Canada,0,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons",Number,223,units,0,v48793995,1.1.1.45.3,25050205
2009/2010,Canada,0,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons",Number,223,units,0,v48793995,1.1.1.45.3,25831210
2011/2012,Canada,0,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons",Number,223,units,0,v48793995,1.1.1.45.3,26479207
2013/2014,Canada,0,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons",Number,223,units,0,v48793995,1.1.1.45.3,26978774
2007/2008,Canada,0,"Life satisfaction, satisfied or very satisfied",Percent,Percent,239,units,0,v48793997,1.1.1.45.5,91.6
2009/2010,Canada,0,"Life satisfaction, satisfied or very satisfied",Percent,Percent,239,units,0,v48793997,1.1.1.45.5,92.1
2011/2012,Canada,0,"Life satisfaction, satisfied or very satisfied",Percent,Percent,239,units,0,v48793997,1.1.1.45.5,92.3
2013/2014,Canada,0,"Life satisfaction, satisfied or very satisfied",Percent,Percent,239,units,0,v48793997,1.1.1.45.5,92
2007/2008,Canada,0,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, percent",Percent,239,units,0,v48793998,1.1.1.45.6,91.4
2009/2010,Canada,0,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, percent",Percent,239,units,0,v48793998,1.1.1.45.6,91.8
2011/2012,Canada,0,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, percent",Percent,239,units,0,v48793998,1.1.1.45.6,92.1
2013/2014,Canada,0,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, percent",Percent,239,units,0,v48793998,1.1.1.45.6,91.7
2007/2008,Canada,0,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, percent",Percent,239,units,0,v48793999,1.1.1.45.7,91.9
2009/2010,Canada,0,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, percent",Percent,239,units,0,v48793999,1.1.1.45.7,92.4
2011/2012,Canada,0,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, percent",Percent,239,units,0,v48793999,1.1.1.45.7,92.6
2013/2014,Canada,0,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, percent",Percent,239,units,0,v48793999,1.1.1.45.7,92.3
2007/2008,Canada,0,"Life satisfaction, satisfied or very satisfied",Statistically different from previous reference period,Number,223,units,0,v48793993,1.1.1.45.12,0
2009/2010,Canada,0,"Life satisfaction, satisfied or very satisfied",Statistically different from previous reference period,Number,223,units,0,v48793993,1.1.1.45.12,1
2011/2012,Canada,0,"Life satisfaction, satisfied or very satisfied",Statistically different from previous reference period,Number,223,units,0,v48793993,1.1.1.45.12,0
2013/2014,Canada,0,"Life satisfaction, satisfied or very satisfied",Statistically different from previous reference period,Number,223,units,0,v48793993,1.1.1.45.12,0
2007/2008,Canada,0,"Perceived life stress, quite a lot (15 years and over)",Number of persons,Number,223,units,0,v42924529,1.1.1.18.1,5964158
2009/2010,Canada,0,"Perceived life stress, quite a lot (15 years and over)",Number of persons,Number,223,units,0,v42924529,1.1.1.18.1,6407620
2011/2012,Canada,0,"Perceived life stress, quite a lot (15 years and over)",Number of persons,Number,223,units,0,v42924529,1.1.1.18.1,6509616
2013/2014,Canada,0,"Perceived life stress, quite a lot (15 years and over)",Number of persons,Number,223,units,0,v42924529,1.1.1.18.1,6627872
2007/2008,Canada,0,"Perceived life stress, quite a lot (15 years and over)","Low 95% confidence interval, number of persons",Number,223,units,0,v42924530,1.1.1.18.2,5860039
2009/2010,Canada,0,"Perceived life stress, quite a lot (15 years and over)","Low 95% confidence interval, number of persons",Number,223,units,0,v42924530,1.1.1.18.2,6290813
2011/2012,Canada,0,"Perceived life stress, quite a lot (15 years and over)","Low 95% confidence interval, number of persons",Number,223,units,0,v42924530,1.1.1.18.2,6380564
2013/2014,Canada,0,"Perceived life stress, quite a lot (15 years and over)","Low 95% confidence interval, number of persons",Number,223,units,0,v42924530,1.1.1.18.2,6493422
2007/2008,Canada,0,"Perceived life stress, quite a lot (15 years and over)","High 95% confidence interval, number of persons",Number,223,units,0,v42924531,1.1.1.18.3,6068277
2009/2010,Canada,0,"Perceived life stress, quite a lot (15 years and over)","High 95% confidence interval, number of persons",Number,223,units,0,v42924531,1.1.1.18.3,6524428
2011/2012,Canada,0,"Perceived life stress, quite a lot (15 years and over)","High 95% confidence interval, number of persons",Number,223,units,0,v42924531,1.1.1.18.3,6638669
2013/2014,Canada,0,"Perceived life stress, quite a lot (15 years and over)","High 95% confidence interval, number of persons",Number,223,units,0,v42924531,1.1.1.18.3,6762321
2007/2008,Canada,0,"Perceived life stress, quite a lot (15 years and over)",Percent,Percent,239,units,0,v42924533,1.1.1.18.5,22.4
2009/2010,Canada,0,"Perceived life stress, quite a lot (15 years and over)",Percent,Percent,239,units,0,v42924533,1.1.1.18.5,23.4
2011/2012,Canada,0,"Perceived life stress, quite a lot (15 years and over)",Percent,Percent,239,units,0,v42924533,1.1.1.18.5,23.2
2013/2014,Canada,0,"Perceived life stress, quite a lot (15 years and over)",Percent,Percent,239,units,0,v42924533,1.1.1.18.5,23
2007/2008,Canada,0,"Perceived life stress, quite a lot (15 years and over)","Low 95% confidence interval, percent",Percent,239,units,0,v42924534,1.1.1.18.6,22
2009/2010,Canada,0,"Perceived life stress, quite a lot (15 years and over)","Low 95% confidence interval, percent",Percent,239,units,0,v42924534,1.1.1.18.6,22.9
2011/2012,Canada,0,"Perceived life stress, quite a lot (15 years and over)","Low 95% confidence interval, percent",Percent,239,units,0,v42924534,1.1.1.18.6,22.7
2013/2014,Canada,0,"Perceived life stress, quite a lot (15 years and over)","Low 95% confidence interval, percent",Percent,239,units,0,v42924534,1.1.1.18.6,22.5
2007/2008,Canada,0,"Perceived life stress, quite a lot (15 years and over)","High 95% confidence interval, percent",Percent,239,units,0,v42924535,1.1.1.18.7,22.8
2009/2010,Canada,0,"Perceived life stress, quite a lot (15 years and over)","High 95% confidence interval, percent",Percent,239,units,0,v42924535,1.1.1.18.7,23.8
2011/2012,Canada,0,"Perceived life stress, quite a lot (15 years and over)","High 95% confidence interval, percent",Percent,239,units,0,v42924535,1.1.1.18.7,23.6
2013/2014,Canada,0,"Perceived life stress, quite a lot (15 years and over)","High 95% confidence interval, percent",Percent,239,units,0,v42924535,1.1.1.18.7,23.5
2007/2008,Canada,0,"Perceived life stress, quite a lot (15 years and over)",Statistically different from previous reference period,Number,223,units,0,v42924537,1.1.1.18.12,0
2009/2010,Canada,0,"Perceived life stress, quite a lot (15 years and over)",Statistically different from previous reference period,Number,223,units,0,v42924537,1.1.1.18.12,1
2011/2012,Canada,0,"Perceived life stress, quite a lot (15 years and over)",Statistically different from previous reference period,Number,223,units,0,v42924537,1.1.1.18.12,0
2013/2014,Canada,0,"Perceived life stress, quite a lot (15 years and over)",Statistically different from previous reference period,Number,223,units,0,v42924537,1.1.1.18.12,0
2007/2008,Canada,0,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v42924700,1.1.1.19.1,17442745
2009/2010,Canada,0,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v42924700,1.1.1.19.1,18207033
2011/2012,Canada,0,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v42924700,1.1.1.19.1,18568470
2013/2014,Canada,0,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,Number,223,units,0,v42924700,1.1.1.19.1,19240113
2007/2008,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, number of persons",Number,223,units,0,v42924701,1.1.1.19.2,17309757
2009/2010,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, number of persons",Number,223,units,0,v42924701,1.1.1.19.2,18062364
2011/2012,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, number of persons",Number,223,units,0,v42924701,1.1.1.19.2,18428417
2013/2014,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, number of persons",Number,223,units,0,v42924701,1.1.1.19.2,19088146
2007/2008,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, number of persons",Number,223,units,0,v42924702,1.1.1.19.3,17575732
2009/2010,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, number of persons",Number,223,units,0,v42924702,1.1.1.19.3,18351701
2011/2012,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, number of persons",Number,223,units,0,v42924702,1.1.1.19.3,18708524
2013/2014,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, number of persons",Number,223,units,0,v42924702,1.1.1.19.3,19392080
2007/2008,Canada,0,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v42924704,1.1.1.19.5,64.8
2009/2010,Canada,0,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v42924704,1.1.1.19.5,65.4
2011/2012,Canada,0,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v42924704,1.1.1.19.5,65.4
2013/2014,Canada,0,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v42924704,1.1.1.19.5,66.2
2007/2008,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, percent",Percent,239,units,0,v42924705,1.1.1.19.6,64.3
2009/2010,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, percent",Percent,239,units,0,v42924705,1.1.1.19.6,64.9
2011/2012,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, percent",Percent,239,units,0,v42924705,1.1.1.19.6,65
2013/2014,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, percent",Percent,239,units,0,v42924705,1.1.1.19.6,65.7
2007/2008,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, percent",Percent,239,units,0,v42924706,1.1.1.19.7,65.3
2009/2010,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, percent",Percent,239,units,0,v42924706,1.1.1.19.7,65.9
2011/2012,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, percent",Percent,239,units,0,v42924706,1.1.1.19.7,65.9
2013/2014,Canada,0,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, percent",Percent,239,units,0,v42924706,1.1.1.19.7,66.7
2007/2008,Canada,0,"Sense of belonging to local community, somewhat strong or very strong",Statistically different from previous reference period,Number,223,units,0,v42924708,1.1.1.19.12,0
2009/2010,Canada,0,"Sense of belonging to local community, somewhat strong or very strong",Statistically different from previous reference period,Number,223,units,0,v42924708,1.1.1.19.12,0
2011/2012,Canada,0,"Sense of belonging to local community, somewhat strong or very strong",Statistically different from previous reference period,Number,223,units,0,v42924708,1.1.1.19.12,0
2013/2014,Canada,0,"Sense of belonging to local community, somewhat strong or very strong",Statistically different from previous reference period,Number,223,units,0,v42924708,1.1.1.19.12,1
2007/2008,Canada,0,Mood disorder,Number of persons,Number,223,units,0,v47663260,1.1.1.44.1,1845990
2009/2010,Canada,0,Mood disorder,Number of persons,Number,223,units,0,v47663260,1.1.1.44.1,1847892
2011/2012,Canada,0,Mood disorder,Number of persons,Number,223,units,0,v47663260,1.1.1.44.1,2074842
2013/2014,Canada,0,Mood disorder,Number of persons,Number,223,units,0,v47663260,1.1.1.44.1,2304130
2007/2008,Canada,0,Mood disorder,"Low 95% confidence interval, number of persons",Number,223,units,0,v47663264,1.1.1.44.2,1786073
2009/2010,Canada,0,Mood disorder,"Low 95% confidence interval, number of persons",Number,223,units,0,v47663264,1.1.1.44.2,1785454
2011/2012,Canada,0,Mood disorder,"Low 95% confidence interval, number of persons",Number,223,units,0,v47663264,1.1.1.44.2,2005539
2013/2014,Canada,0,Mood disorder,"Low 95% confidence interval, number of persons",Number,223,units,0,v47663264,1.1.1.44.2,2228301
2007/2008,Canada,0,Mood disorder,"High 95% confidence interval, number of persons",Number,223,units,0,v47663265,1.1.1.44.3,1905907
2009/2010,Canada,0,Mood disorder,"High 95% confidence interval, number of persons",Number,223,units,0,v47663265,1.1.1.44.3,1910330
2011/2012,Canada,0,Mood disorder,"High 95% confidence interval, number of persons",Number,223,units,0,v47663265,1.1.1.44.3,2144145
2013/2014,Canada,0,Mood disorder,"High 95% confidence interval, number of persons",Number,223,units,0,v47663265,1.1.1.44.3,2379959
2007/2008,Canada,0,Mood disorder,Percent,Percent,239,units,0,v47663267,1.1.1.44.5,6.6
2009/2010,Canada,0,Mood disorder,Percent,Percent,239,units,0,v47663267,1.1.1.44.5,6.4
2011/2012,Canada,0,Mood disorder,Percent,Percent,239,units,0,v47663267,1.1.1.44.5,7.1
2013/2014,Canada,0,Mood disorder,Percent,Percent,239,units,0,v47663267,1.1.1.44.5,7.7
2007/2008,Canada,0,Mood disorder,"Low 95% confidence interval, percent",Percent,239,units,0,v47663268,1.1.1.44.6,6.4
2009/2010,Canada,0,Mood disorder,"Low 95% confidence interval, percent",Percent,239,units,0,v47663268,1.1.1.44.6,6.2
2011/2012,Canada,0,Mood disorder,"Low 95% confidence interval, percent",Percent,239,units,0,v47663268,1.1.1.44.6,6.8
2013/2014,Canada,0,Mood disorder,"Low 95% confidence interval, percent",Percent,239,units,0,v47663268,1.1.1.44.6,7.4
2007/2008,Canada,0,Mood disorder,"High 95% confidence interval, percent",Percent,239,units,0,v47663269,1.1.1.44.7,6.8
2009/2010,Canada,0,Mood disorder,"High 95% confidence interval, percent",Percent,239,units,0,v47663269,1.1.1.44.7,6.7
2011/2012,Canada,0,Mood disorder,"High 95% confidence interval, percent",Percent,239,units,0,v47663269,1.1.1.44.7,7.3
2013/2014,Canada,0,Mood disorder,"High 95% confidence interval, percent",Percent,239,units,0,v47663269,1.1.1.44.7,7.9
2007/2008,Canada,0,Mood disorder,Statistically different from previous reference period,Number,223,units,0,v47663263,1.1.1.44.12,1
2009/2010,Canada,0,Mood disorder,Statistically different from previous reference period,Number,223,units,0,v47663263,1.1.1.44.12,0
2011/2012,Canada,0,Mood disorder,Statistically different from previous reference period,Number,223,units,0,v47663263,1.1.1.44.12,1
2013/2014,Canada,0,Mood disorder,Statistically different from previous reference period,Number,223,units,0,v47663263,1.1.1.44.12,1
2007/2008,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v42924746,2.1.1.2.1,329516
2009/2010,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v42924746,2.1.1.2.1,324633
2011/2012,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v42924746,2.1.1.2.1,317564
2013/2014,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v42924746,2.1.1.2.1,322090
2007/2008,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v42924747,2.1.1.2.2,321856
2009/2010,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v42924747,2.1.1.2.2,315654
2011/2012,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v42924747,2.1.1.2.2,307940
2013/2014,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v42924747,2.1.1.2.2,312704
2007/2008,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v42924748,2.1.1.2.3,337176
2009/2010,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v42924748,2.1.1.2.3,333613
2011/2012,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v42924748,2.1.1.2.3,327187
2013/2014,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v42924748,2.1.1.2.3,331476
2007/2008,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v42924750,2.1.1.2.5,77
2009/2010,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v42924750,2.1.1.2.5,75
2011/2012,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v42924750,2.1.1.2.5,73.2
2013/2014,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v42924750,2.1.1.2.5,73.4
2007/2008,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v42924751,2.1.1.2.6,75.3
2009/2010,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v42924751,2.1.1.2.6,73
2011/2012,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v42924751,2.1.1.2.6,71
2013/2014,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v42924751,2.1.1.2.6,71.4
2007/2008,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","High 95% confidence interval, percent",Percent,239,units,0,v42924752,2.1.1.2.7,78.7
2009/2010,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","High 95% confidence interval, percent",Percent,239,units,0,v42924752,2.1.1.2.7,77
2011/2012,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","High 95% confidence interval, percent",Percent,239,units,0,v42924752,2.1.1.2.7,75.4
2013/2014,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent","High 95% confidence interval, percent",Percent,239,units,0,v42924752,2.1.1.2.7,75.5
2007/2008,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Statistically different from the Canada rate,Number,223,units,0,v42924754,2.1.1.2.9,1
2009/2010,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Statistically different from the Canada rate,Number,223,units,0,v42924754,2.1.1.2.9,0
2011/2012,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Statistically different from the Canada rate,Number,223,units,0,v42924754,2.1.1.2.9,0
2013/2014,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Statistically different from the Canada rate,Number,223,units,0,v42924754,2.1.1.2.9,1
2007/2008,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Statistically different from previous reference period,Number,223,units,0,v42924755,2.1.1.2.12,0
2009/2010,Newfoundland and Labrador,10,"Perceived mental health, very good or excellent",Statistically different from previous reference period,Number,223,units,0,v42924755,2.1.1.2.12,0
